"id","type_id","topic_id","text","referencedTopic_id"
1546004,1,1546,SEE ALSO:  Fisher Baseball Stadium,
1546009,1,1546,SEE ALSO:  Ray Athletic Facilities,
1546008,1,1546,SEE ALSO:  Radrick Farms Golf Course,
1546007,1,1546,SEE ALSO:  Intramural Sports Building Mann Swimming Pool,
1546011,1,1546,listed here but not a part of the Athletic Plant,
1547001,1,1547,for gifts for see indexs of RPIs 1969-72 through present,
1579001,1,1579,Formerly Dept. of Atmospheric and Oceanic Sciences,
1595001,1,1595,SEE:  Michigan State of,
1676001,4,1676,,11064
1702001,3,1702,,212
1762001,1,1762,SEE ALSO:  Babcock Frederick Reynolds s Babcock Urological Endowment Fund,
1872001,4,1872,,19398
1872002,4,1872,,27184
1997001,1,1997,"Regent, 1943-1957",
2154001,3,2154,,27184
2159001,3,2159,,10177
2181001,4,2181,,2191
2181002,4,2181,,36550
2191001,1,2191,SEE ALSO:  under name of Bank,
2250001,4,2250,,2240
2250006,4,2250,,43735
2688001,1,2688,Regent from Jan. 1908 to Dec. 31 1939,
2780001,1,2780,SEE ALSO:  Beck American History Scholarship Edward Scott,
3124001,1,3124,"Regent, 1966-1969",
3125001,1,3125,Michigan Historical Collections Building in R.P. 1963-69 and part of 69-72,
3148001,3,3148,,14995
3352001,1,3352,Teaching Fellow RPI 1936-39 through 1945-48,
3485001,3,3485,,1540
3556001,1,3556,established in 1954 no R.P. ref,
3566001,1,3566,"combined Department of Hygiene, Bacteriology and Physiological Chemistry",
3579001,4,3579,,4045
3587001,2,3587,volumes 1906-23 for,
3588003,4,3588,,4321
3588004,4,3588,,44463
3588002,4,3588,,3579
3588001,1,3588,SEE ALSO:  Vertebrate Biology Laboratory of,
3592001,1,3592,"SEE ALSO:  Science and Technology Institute of i Biophysics Research Center established, 1954-57, 685",
3610001,4,3610,,29970
3659002,3,3659,,29970
3659001,1,3659,"Regent, 1944-1946",
3666001,1,3666,SEE ALSO:  Bishop Lectureship fund William Warner,
3699002,4,3699,,28845
3699001,4,3699,,10511
3699003,4,3699,,38649
3709001,1,3709,called Black and Black in R.P. volumes 1948-51 and 1951-54,
3746001,1,3746,SEE ALSO:  Blagdon House Charlotte Alice,
3753001,1,3753,"Regent Oct. 1881 to Dec. 31, 1889",
3852001,1,3852,SEE ALSO:  Blindness Inc. Research to Prevent,
3927001,1,3927,"plan established April 1940, no R.P. ref.",
3928001,1,3928,SEE:  Citizens Committee on Higher Education,
3977003,1,3977,Called Board in Control of Athletics from R.P. 1896-32,
3977001,1,3977,"Athletics indexed in bound volumes of R.P. under specific types of sports, 1864-96",
4014001,1,4014,"SEE ALSO:  Bodman Loan fund, Henry E.",
4044001,3,4044,,5999
4045002,4,4045,,5999
4045001,4,4045,,3579
4086001,3,4086,,17508
4103001,1,4103,"Assistant Professor, 1973",
4140001,4,4140,,4153
4153001,4,4153,,10804
4155001,2,4155,"volumes 1837-64, 1876-81, 1906-10 1926-29 for treasurer",
4168001,1,4168,Regent from Nov. 1 1946 to Dec. 31 1959,
4187001,4,4187,,4197
4192001,4,4192,,4187
4192002,4,4192,,4197
4197001,4,4197,,8416
4233001,1,4233,SEE:  Blood Pressure Studies Boarderline--Julius fund,
4235001,2,4235,"for chief counseling division, 1945-60 i associate prof of psyc, 1945-48, 1190",
4247001,4,4247,,4245
25786004,4,25786,,29111
4321011,4,4321,,29111
4321008,4,4321,,3579
4321010,4,4321,,25786
4321001,1,4321,Botany separated from Zoology in 1879,
4321003,1,4321,"called Botany Department from R.P., 1906 on",
4321004,1,4321,"called Botany and Zoology from R.P., 1876 to 1881",
4321006,1,4321,"called Geology and Zoology from R.P., 1870 to 1876",
4321002,1,4321,"called Botanical Department from R.P., 1881 to 1885",
4321007,1,4321,"indexed under Botanical Laboratory in R.P., 1886-91",
4321005,1,4321,"called Botany from R.P., 1837 to 1864 and 1891 to 1896",
4486001,1,4486,"Regent, 1958-1966",
4526002,2,4526,"for committee appointments on board, 1837-64",
4526001,1,4526,"Regent from Jan. 1, 1858 to Dec. 31, 1863",
4677001,2,4677,"volumes 1948-54, 57-63, and 66-69, board of dir of u musical society",
4788001,1,4788,"Pharmacist University Hospital, 1891-1920",
4794001,1,4794,"Regent from November, 1964 to May, 1968",
4864001,1,4864,SEE ALSO:  Radio,
4918001,1,4918,"SEE ALSO:  Adjunct Assistant Professor of Biostatistics, 1984-87, 151",
5037001,1,5037,"Regent from Jan. 1, 1858 to December 31, 1863",
5077002,1,5077,"resigned, 1840",
5077001,1,5077,"Regent, July, 1839",
5108002,1,5108,"Regent, 1971-",
5108001,1,5108,Regent from 1971-1994,
5123001,1,5123,"Regent, 1967-December 20, 1974",
5330001,1,5330,formerly Operating Committee,
5346001,1,5346,"Extramural Lecturer, RP volumes 1926-42",
5361001,4,5361,,30015
5367008,4,5367,,8084
5367001,1,5367,SEE ALSO:  under individual buildings,
5367009,4,5367,,10802
5367007,2,5367,"1896-01, 06-10, 10-14, and 17-20 for plans to state bds for new bldgs",
5367005,1,5367,"indexed under Campus Development, from 1917-20",
5367002,1,5367,indexed under Building Expansion Program from 1945-1963,
5367006,1,5367,indexed under Plant Rehabilitation and Extension from 1948-51,
5367003,1,5367,indexed under Building Program Buildings or Plant Ext. from 1929-51,
5368001,2,5368,"volumes for committees on, 1917-23, 1929-32, 1936-39",
5373002,4,5373,,1216
5373001,2,5373,"volumes 1837-64, 1881-85, and 1910-14 for insurance on",
5386001,1,5386,"Regent April, 1911 to Dec. 31, 1917",
5484001,1,5484,"Regent, 1942",
5489001,1,5489,Cavanaugh and Burke (formerly) s R.P. from 1929-32 through 1942-45,
5491001,1,5491,"Burke, Burke and Smith (formerly)",
5492002,2,5492,"1942-45 through 1948-51 for legal services of",
5492001,1,5492,Burke and Burke (formerly),
5497001,4,5497,,5489
5642001,1,5642,"Regent from January, 1868 to December, 1875",
5698001,2,5698,volume 1981-84 for gifts for,
5710002,1,5710,"Edmund E. Day, 1924 to 1927",
5710001,1,5710,"Clare E. Griffin, 1927 to 1944",
5710003,1,5710,"Russell A. Stevenson, 1944 to 1960",
5713001,2,5713,volumes 1942-present for executive committee,
5718001,2,5718,"volumes 1923-29, 1932-36, 1939-66, for tuition",
5735001,2,5735,volumes 1978-84 for gift listings,
5762001,1,5762,SEE:  Lecturer see RP volumes 1945-60,
5799001,1,5799,"Regent of the University, 1888-1904",
5931001,4,5931,,19217
5931002,4,5931,,19229
5966001,1,5966,Calumet and Hecla Consolidated Copper Co. in volumes 1945-48 and 1948-51,
5999002,1,5999,"named Camp Davis, 1914-17, 388",
5999001,1,5999,"Engineering Camp or Bogardus Engineering Camp from R.P., 1901 to 1914",
6009001,1,6009,"an anthro. camp 1939 in Rutherford Township Ontario, Canada, no RP ref.",
6079001,2,6079,volumes 1951-72 for gifts,
6111001,1,6111,SEE ALSO:  under specific name of Camp,
6112003,4,6112,,44545
6112001,4,6112,,5367
6115001,4,6115,,1216
6142001,2,6142,volumes 1957-72 for gifts,
6146001,3,6146,,19855
6146002,3,6146,,24236
6206001,3,6206,,24236
6267001,1,6267,"Regent Jan. 1, 1902 to Dec. 31, 1909",
6353001,2,6353,volumes 1963-69 for gift listing,
6544001,3,6544,,13073
6548001,4,6548,,6979
6549002,3,6549,,40136
6549001,1,6549,called Treasurer from 1837 to 1931,
6560001,1,6560,"Regent, 1843-44",
6629001,2,6629,"1910-32",
6644001,1,6644,SEE:  Columbia Broadcasting System,
6655002,3,6655,,35935
6655003,3,6655,,35987
6655001,1,6655,SEE:  Diamond Jubilee Celebration Centennial Celebration,
6681022,3,6681,,26607
6681007,3,6681,,8064
6681013,3,6681,,19668
6681001,1,6681,SEE:  Heart Research Center,
6681034,3,6681,,38826
6681027,3,6681,,31812
6681006,3,6681,,7169
6681019,3,6681,,23517
6681014,3,6681,,20060
6681025,3,6681,,31689
6681020,3,6681,,23856
6681021,3,6681,,24927
6681035,3,6681,,39337
6681009,3,6681,,16216
6681037,3,6681,,42515
6681003,3,6681,,187
6681032,3,6681,,37357
6681012,3,6681,,19161
6681005,3,6681,,7123
6681004,3,6681,,804
6681002,1,6681,SEE:  Heart and Circ. and Related Disorders Cntr for Research in Dis. of the,
6695003,1,6695,Central State Normal School (formerly),
6695004,1,6695,named Central Michigan University in 1959,
6695001,1,6695,Central Michigan College of Education (formerly),
6695002,1,6695,Central Michigan Normal School and Business Institute (formerly),
6699001,1,6699,SEE:  Central Michigan University,
6711001,1,6711,SEE:  Inaugural Ceremonies,
6751002,3,6751,,28630
6751001,3,6751,,10533
7003003,1,7003,no mention from R.Pl 1901-10,
7003001,1,7003,called Chemical Engineering Department from R.P. 1917-32,
7003002,1,7003,"indexed under Chemical Engineering (only) from R.P., 1896-1901, and 1910-17",
7027002,1,7027,"no mention of in indexes from R.P., 1896 to 1906",
7027001,1,7027,"called Chem., Chem. Dept. or General Chem. Dept. from R.P., 1837-1896",
7079001,1,7079,"SEE ALSO:  Assis. Prof. of Health Planning and Administration Public Health, 1975-78, 484",
7149001,3,7149,,2980
7211001,1,7211,"SEE:  see Center for Information Technology Integration, 1984-87, 666",
7258001,1,7258,"Regent: Jan., 1884 to Dec. 31, 1891",
7413001,1,7413,established in 1914 by gift of Class of 1914 (no R.P. ref.),
7432001,3,7432,,7433
7432002,3,7432,,7434
7502001,3,7502,,21338
7504005,1,7504,"no mention from R.P., 1876 to 1891",
7504001,1,7504,"called Classical Course, from R.P. 1837 to 1876",
7504003,1,7504,called Classical Schools from R.P. 1901 to 1906,
7504002,1,7504,called Classical Department from R.P. 1891 to 1896,
7504004,1,7504,no mention from R.P. 1906 to 1945: s Latin Department,
7510001,3,7510,,33290
7563002,2,7563,"1906-1936 for committee appointments on board, reports by, etc",
7563001,1,7563,"Regent, Jan. 1, 1910 to Dec. 31, 1933",
7568001,2,7568,index from 1920-23 to present for members of management committee,
7570001,3,7570,,12034
7594002,2,7594,"1870-76 through 1881-86 for committee appointments on board",
7594001,1,7594,"Regent from January, 1874 to December, 1881",
7606001,3,7606,,27184
7615001,1,7615,"SEE ALSO:  Children''s Clinic of Michigan, Central Michigan a Children''s Clinic, Northern Michigan",
7653001,1,7653,"SEE ALSO:  Clune, Frances M. i bequest received from estate of, 1969-72, 1513",
7660003,4,7660,,43576
7660001,1,7660,SEE:  re admission of women R.P. volumes 1837-64 through 1901-06,
7660002,2,7660,"for number of women in attendance, 1876-81 through 1891-96",
7661001,3,7661,,5464
7685001,1,7685,"established in 1921 by Mr. and Mrs. George W. Coblentz (no R.P., ref.)",
7706001,1,7706,"appointed Regent Jan. 1, 1890",
7710002,2,7710,"1906-10 1910-14 for committee appointments on board, etc",
7710001,1,7710,"Regent Jan., 1910 to Dec. 31, 1917",
7901001,3,7901,,22750
7906001,3,7906,,12210
7937001,1,7937,"Regent from January, 1878 to Dec. 31, 1885",
7992001,1,7992,"later Colvin Robinson and Associates, 1972-75, 299",
8037001,1,8037,SEE:  Computer and Communication Sciences Department,
8062001,4,8062,,5711
8074001,1,8074,"Regent, 1841-1842",
8075001,1,8075,"Regent Feb., 1913 to Dec. 31, 1913",
8084001,2,8084,"for proceedings, 1910-14, through 1920-23",
8090001,1,8090,"called Discipline Committee from R.P. 1920-23 to June, 1934, 1932-36, 353",
8091002,4,8091,,10508
8091003,4,8091,,38621
8091001,4,8091,,8090
8146002,2,8146,"for memberships on board committees, etc, 1939-42 through 1957-60",
8146001,1,8146,"Regent January 1, 1942 to December 31, 1957",
8193001,3,8193,,33353
8208001,3,8208,,27153
8251001,2,8251,"1914-17 through present for appointments on board of governors",
8253001,4,8253,,8321
8258001,2,8258,volumes 1957-60 through 1969-72 for annual accounting,
8277002,2,8277,from 1932 to 1942 for membership on various committees of the board,
8277001,1,8277,Regent 1934-1943,
8402001,1,8402,no record in R.P. of original appointment of,
8416001,4,8416,,4197
8422001,3,8422,,18062
8432001,1,8432,"no record of appointment of, as Professor of Economics",
8438001,1,8438,originally Irving Marmer Copilowish,
8453001,4,8453,,37468
8457001,4,8457,,37468
8513001,1,8513,"on Clements Library Associates Board of Governors, RP 1972-84",
8531001,1,8531,"Visiting Professor of English Language and Literature, no RPI reference",
8649001,1,8649,"Regent from 1837 to 1839: reappointed, March, 1843, term expired in 1847",
8699001,1,8699,"for work by those who enter military, RP 1914-20, 1939-42, 1948-51",
8706002,2,8706,"1929-36, 1939-42",
8706001,1,8706,"member Lawyers Club Board of Governors, RP volumes 1923-42",
8845002,2,8845,volumes 1936-45 for membership on various committees,
8845001,1,8845,"Regent from Jan. 1, 1936 to Dec. 31, 1943",
8862001,1,8862,"Teaching Fellow in Music, RP volumes 1951-60",
8873001,1,8873,"SEE:  Center for Research in the Utilization of Scientific Knowledge, 1984-87, 918",
8873002,1,8873,See Center for Research on the Utilization of Scientific Knowledge,
8890001,2,8890,volumes 1963-72 for gifts to cudlip memorial found fellowship fund,
8893002,1,8893,Regent 1964-1972,
8893001,1,8893,"Died November 12, 1988",
8909001,4,8909,,229
8933001,2,8933,volumess 1963-72 for gifts for fellowship in mechnical engineering,
8960001,4,8960,,33335
8971003,4,8971,,38660
8971002,4,8971,,8004
8971001,1,8971,SEE:  under individual schools or colleges,
9039001,1,9039,"Regent, Feb., 1849",
9043001,2,9043,"volumes 1837-70, 1881-85, and 1906-14 for salaries of",
9048002,2,9048,"volume 1876-85, for committee appointments on board, etc",
9048001,1,9048,"Regent: Jan. 1, 1876 to Jan., 1883",
9055001,2,9055,volumes 1936-45 for extension courses given by,
9143001,4,9143,,27082
9158001,1,9158,"Teaching Fellow, RP volumes 1954-60",
9191001,3,9191,,7236
9279001,2,9279,"1963-72 for gifts for dargavel found pharmaceutical scholarship fund",
9482001,1,9482,"Extramural Lecturer, RP volumes 1926-39",
9599001,1,9599,Regent: 1894-1901,
9611001,2,9611,volumes 1954-present,
9614001,1,9614,SEE:  under individual schools or colleges for listing of,
9615001,1,9615,"inaugurated in 1920, no R.P. ref.",
9628001,3,9628,,40660
9635001,4,9635,,40660
9695001,4,9695,,34702
9712001,4,9712,,1277
9791001,1,9791,"gifts for Analgesic Research fund, RP 1969-78",
9862002,4,9862,,10519
9862001,4,9862,,1165
9948001,2,9948,volumes 1923-32 for gifts for research in dentistry,
9959001,2,9959,volumes 1963-69 for gift for dental school special fund,
9983001,1,9983,SEE:  Operative Dentistry Research,
9988004,1,9988,"Marcus L. Ward, 1916-34",
9988010,1,9988,"William R. Mann, 1962-81",
9988006,1,9988,"Paul H. Jeserich, 1950-62",
9988009,1,9988,William E. Kotowicz 1987-,
9988003,1,9988,"Jonathan Taft, 1875 to 1903",
9988007,1,9988,"Richard L. Christiansen, 1981-87",
9988002,1,9988,"Cyrenus G. Darling, Acting Dean, 1903-07",
9988011,1,9988,"Willoughby D. Miller, 1907, died same year",
9988005,1,9988,"Nelville S. Hoff, Acting Dean, 1907-11, Dean 1911-16",
9988001,1,9988,"Chalmers J. Lyons, Acting chairman of Executive committee, 1934-35",
9988008,1,9988,"Russell W. Bunting, Acting Chair of Executive Committee, 1935-37, Dean 1937-50",
9994015,4,9994,,9957
9994017,4,9994,,9966
9994016,4,9994,,9963
9994005,1,9994,SEE ALSO:  Dentistry School fees,
9994001,1,9994,SEE ALSO:  Dentisrty School Deans,
9994006,1,9994,SEE ALSO:  Dentistry School gifts,
9994003,1,9994,SEE ALSO:  Dentistry School Bylaws,
9994004,1,9994,SEE ALSO:  Dentistry School Degrees,
9994002,1,9994,SEE ALSO:  Dentistry School Appointments,
9994019,4,9994,,9987
9994007,1,9994,SEE ALSO:  Sentistry School Admission Requirements,
9994012,2,9994,volumes 1864-76 for establishment of,
9994011,1,9994,"name changed to School of Dentistry, 1926-29, 123",
9994009,1,9994,"called Dental College from R.P., 1870-91, and 1914-23",
9994010,1,9994,"called Dental Department from R.P., 1864-70 and 1896-14",
9994008,1,9994,"called College of Dental Surgery from R.P. 1891-96, and 1926-29",
10021001,3,10021,,240
10035006,4,10035,,41158
10035005,4,10035,,10038
10035004,4,10035,,10037
10035003,4,10035,,10036
10035002,1,10035,"name changed to Dermatology Department, 1957-60, 603",
10035001,1,10035,"called Dermatology and Syphilology Department from R.P., 1910 to 1957",
10072001,3,10072,,12112
10109001,1,10109,"formerly The Detroit Bank, and The Detroit Trust Company: merged to form",
10121002,4,10121,,10134
10121001,4,10121,,10133
10138001,3,10138,,12132
10176001,2,10176,volumes 1948-78 for gift listings,
10184001,1,10184,"for lots or property in, see R P., 1837--on, or under name of property",
10215001,4,10215,,44519
10290001,1,10290,"Instructor in Psychiatry, no RP ref",
10294002,1,10294,"SEE:  The University of Michigan, An Encyclopedic Survey, Volume I",
10294001,1,10294,"Regent of the University, 1840-1841",
10305001,2,10305,volumes 1966-81 for gifts,
10379002,3,10379,,27189
10379001,3,10379,,11414
10487001,1,10487,SEE ALSO:  signing of,
10487003,4,10487,,10489
10487002,4,10487,,10488
10487004,4,10487,,10490
10488001,1,10488,"none issued without proof of loss of, 1876-81, 96-01, 14-17, 32-36, 42-45",
10506001,3,10506,,12517
10508002,4,10508,,8091
10508003,4,10508,,38621
10508001,1,10508,"SEE ALSO:  Judicial System, University i rules for moral conduct and, 1837-64, 23-4, 236, 419, 421",
10509001,3,10509,,32231
10510001,4,10510,,4197
10511001,1,10511,SEE ALSO:  Minority groups,
10519002,4,10519,,9862
10519001,4,10519,,1165
10524001,3,10524,,8091
10525001,4,10525,,39538
10530001,1,10530,"supported by Development Council and first awarded in 1956-57, no RP ref.",
10531001,1,10531,for instructors and assistant profs. first awarded in 1959-60 no RP ref,
10533003,4,10533,,10536
10533002,4,10533,,10535
10536016,1,10536,"John Arthos, of English",
10536010,1,10536,"H. R. Crane, of Physics",
10536019,1,10536,"Leslie Bassett, of Music",
10536002,1,10536,"Charles Gibson, of History",
10536004,1,10536,"Clyde Coombs, of Psychology",
10536022,1,10536,"Moses Gomberg, of Chemistry",
10536009,1,10536,"Floyd Russell Mechem, of Law",
10536021,1,10536,"Moses Coil tyler, of History",
10536014,1,10536,"Henry Sewall, of Epidemiology",
10536018,1,10536,"Lee R. Dice, of Human Genetics",
10536007,1,10536,"Edwin DeWitt Dickinson, of Law",
10536015,1,10536,"Henry Smith Carhart, of Physics",
10536011,1,10536,"Harrison M. Randall, of Physics",
10536013,1,10536,"Henry Carter Adams, of Economics",
10536008,1,10536,"Edwin Francis Gay, of Accounting",
10536023,1,10536,"Robert Mark Wenley, of Philosophy",
10536003,1,10536,"Charles Horton Cooley, of Sociology",
10536024,1,10536,"Stephen P. Timoshenko, of Engineering",
10536017,1,10536,"John Jacob Abel, of Biological Chemistry",
10536020,1,10536,"Louis Harry Newburgh, of Internal Medicine",
10536005,1,10536,"Edmund Ezra Day, of Business Administration",
10536001,1,10536,"Alfred Holmes White, of Chemical Engineering",
10536006,1,10536,"Edward DeMille Campbell, of Chemical Engineering",
10536012,1,10536,"Heinz Nicolai, of Germanic Languages and Literature",
10554001,1,10554,Name changed to Division of Kinesiology Executive Committee,
10578001,1,10578,"Regent, 1952-1959",
10636001,2,10636,"1929-32, 1936-39, 1939-42, 1945-58, 1951-54 for bylaw re execution of",
10740001,1,10740,"Extramural Lecturer, RP volumes 1926-42",
10800002,3,10800,,10802
10800001,1,10800,SEE:  Residence Halls or under specific name of,
10802002,4,10802,,10804
10802001,1,10802,SEE ALSO:  under specific name of Dormitory,
10851001,2,10851,"1945-69 for gifts for douglas aircraft co scholarship",
10851002,2,10851,"1951-69 for gifts for douglas aircraft co fellowship in engineering",
10854001,3,10854,,7018
10856001,1,10856,SEE:  Camp Davis or Biological Station,
10857001,1,10857,"Extramural Lecturer, RP volumes 1926-39",
10865001,1,10865,"member, Board of Governors of Newberry Residance Hall, RP 1914-29, 1932-36",
10869001,4,10869,,7018
11000001,1,11000,"appointed Regent Dec. 21, 1886",
11005001,1,11005,"Regent from Feb. 4, 1840 to 1844",
11007001,3,11007,,12112
11028001,1,11028,SEE:  Academic Costume,
11056001,3,11056,,18080
11064001,3,11064,,30525
11064002,3,11064,,40075
11117001,1,11117,"Board in Control of Athletics, RP volumes 1914-42",
11147001,1,11147,"Regent, 1877-86",
11147002,1,11147,"son of Regent George Duffield (1837-64), U Of M An Encyclopedic Survey",
11153002,1,11153,"Member of Board in Control of Athletics, RP volumes 1917-26 and 1929-36",
11192001,1,11192,"Assistant in Zoology, RP volumes 1901-14",
11237001,1,11237,"Regent, January 1969 - December 31, 1984",
11257001,4,11257,,30005
11258001,4,11258,,30005
11268001,3,11268,,10487
11281001,1,11281,replaced duPont Postgraduate Fellowship in Chemistry,
11402001,3,11402,,1234
11413001,1,11413,"Assistant Professor of Anthropology Sept.l, 1973",
11427001,1,11427,"indexed under Engineering.Shops and Laboratories from R.P., 1920-26",
11429001,3,11429,,2686
11431001,1,11431,"called Medical Building (only) from R.P., 1920-26",
11447001,1,11447,SEE:  Eastern Michigan University,
11448001,1,11448,formerly Eastern Michigan College,
11448003,1,11448,formerly Michigan State Normal School,
11448002,1,11448,formerly Michigan State Normal College,
11448004,1,11448,named Eastern Michigan University in 1959,
11449001,3,11449,,39834
11522002,2,11522,"1945-63 for membership on various committees of the board, etc",
11522001,1,11522,Regent: 1946-1961,
11549006,4,11549,,39834
11549004,4,11549,,11551
11549005,4,11549,,11552
11549003,1,11549,"called Political Economy Department from R.P., 1910 to 1914",
11549002,1,11549,"called Political Economy (only) from R.P., 1837 to 1876 and 1901 to 1910",
11549001,1,11549,"called Economics Depatrment since R.P., 1914-17 i included in Division of Social Sciences, 1932-36, 347",
11570001,1,11570,"Instructor in Pharmacy, Aug. 27, 1975",
11577001,3,11577,,32383
11600001,4,11600,,18063
11610001,3,11610,,27153
11613017,4,11613,,11623
11613015,4,11613,,11620
11613013,4,11613,,11618
11613002,1,11613,"SEE ALSO:  Education, School of, Degrees",
11613010,4,11613,,11615
11613001,1,11613,"SEE ALSO:  Education, School of, Appointments",
